id,datetime,username,content,replies,retweets,likes
1608617340132032512,2022-12-30T00:13:55.000Z,TEMPLARIO075,"Busque oficio y acepte que perdió dos veces las elecciones y es mejor que se retire de la política  ya colombia no quiere política sucia y engañosa, callado hace más por el pais sus opiniones atrazan el futuro del país por que lo único que sale es veneno...",0,0,0
1608610502468587520,2022-12-29T23:46:44.000Z,AXLMETALFOX,"Fico el culebrero no se recupera de la paliza que le dieron en elecciones. Lea, el presidente de Colombia le está respondiendo que se va a producir bienestarina con alimentos colombianos",0,0,0
1608596373984759808,2022-12-29T22:50:36.000Z,misa81222,"Lastima que cuba no sea Colombia, acá si podemos cultivar algodón,tenemos buenas tierras y buenas maquinarias por qué no estamos bloqueados, ellos no les dejan ni llegar puntillas,. Acepte que se les ganó en democracia en 6 elecciones, cámara ,senado,consulta y dos precidenciales",0,0,0
1608596194032521216,2022-12-29T22:49:53.000Z,wilosonvelasqu1,si en colombia queremos elecciones limpias y claras empecemos por sacar Alexander Vega de su cargo mientras ese tipejo este alli nada es claro.,0,0,0
1608572913992757250,2022-12-29T21:17:23.000Z,jazz_la_leyenda,"Si mi presidente 
@petrogustavo
 se quejó y crítico infinitas veces el sistema electoral en Colombia cuando se ahogó, y en estas elecciones que casi se pierde,se imaginan lo que diría con el sistema electoral de los mineros en Fointer Club. 
#FraudeElectoral",0,0,0
1608572343793889280,2022-12-29T21:15:07.000Z,EspanolBreaking,"Boluarte: Mi renuncia generaría anarquía y desorden político en Perú
#Perú #CrisisEnElPeru #Boluarte #elecciones #Congreso #México #Colombia #Castillo #baha #noticiasbaha #bahaespanol #Actualidad #Noticias 
Más información 

https://
baha.com/Boluarte-Mi-re
nuncia-generaria-anarquia-y-desorden-politico-en-Peru/news/details/59202332?internal=1
…",0,0,0
1608567711084449792,2022-12-29T20:56:42.000Z,AndresM87156655,"Ustedes no tienen vergüenza y si la tienen la tienen bien escondida, acaso olvidan que ustedes que casi acaban con medio Colombia y que ganaron las elecciones perfilando y difamando a sus opositores políticos.",0,0,0
1608523818523295745,2022-12-29T18:02:17.000Z,ToroDeArena,"1) DOLAR en Colombia hoy
VS
DOLAR en el mundo hoy (DXY)

2) DOLAR en Colombia desde elecciones 
VS
DOLAR en el mundo desde elecciones

El alza del dolar tiene nombre propio.
Nada mas que decir",0,0,0
1608516998945820672,2022-12-29T17:35:12.000Z,EFEVerifica,Publicaciones con #desinformación sobre la guerra en Ucrania y teorías infundadas sobre la existencia de fraude electoral en las elecciones de #Colombia y  #Brasil generaron ruido y confusión en las redes sociales este  en América Latina.,0,0,0
1608514950431150080,2022-12-29T17:27:03.000Z,Santiag86873228,"Menos mal gano Biden, Uribe y Trump tenían lista la guerra entre Colombia y Venezuela y una dictadura de derecha en Colombia, por eso el uribismo intervino las elecciones presidenciales en USA. El Presidente Biden lo sabe, por eso solo recibió a duque en el final de su gobierno",0,0,0
1608509500268453888,2022-12-29T17:05:24.000Z,eveillee100,"El fin del comunismo, el fin de la dictadura sanitaria, el fin de la agenda 2030, que no existan más elecciones manipuladas por el sistema de conteo de votos y que en Colombia el gobierno sirva para algo !",0,0,0
1608500611842019329,2022-12-29T16:30:05.000Z,Ama85094789,"La oposición en sus críticas de mala fe al gbno de PtePetro dice...es q nosotros queremos q le vaya bien porque si le va bien,le va bien a Colombia.Mienten!!!Ellos quieren q le vaya mal para q le vaya peor a Colombia y luego ellos nos rescatan en las elecciones volviendo al poder",0,0,0
1608491509384372224,2022-12-29T15:53:54.000Z,Lasso1N,"Usted sus chirretes,son los que menos les pertenece algo de colombia estas tocando fondo por que la ciudadanía colombiana no vamos q a permitir que míos siga robando y abusando usted nos reconocido como presidente usted robo las elecciones no se meta con COLOMBIA y Nuwstros niños",0,0,0
1608491144333099014,2022-12-29T15:52:27.000Z,trinidadMNovo,"Hace un año que Grabiel Boric ganó las elecciones de Colombia.

RT si crees que 
@GabrielBoric
 es el mejor presidente que Colombia ha tenido en su historia.
#aguanteColombia",0,0,0
1608490795325165568,2022-12-29T15:51:04.000Z,AfpFactual,"Costa Rica, Colombia, Chile y Brasil fueron a las urnas. Y allí dimos contexto.

Dos ejemplos:

La desinformación sobre Petro y Márquez migra al exterior: 
http://
u.afp.com/MarquezPetro   

Supuesta auditoría de las elecciones de Brasil no prueba fraude: 
http://
u.afp.com/AuditoriaBrasil",0,0,0
1608482427491749889,2022-12-29T15:17:49.000Z,andresmelocou,"Por qué está preocupado Petro por lo de Perú? SENCILLO! Porque ve con miedo las elecciones en Colombia del próximo octubre. Que sea el comienzo de su derrumbe. 

#NoPierdanLaOportunidad",0,0,0
1608479404216156163,2022-12-29T15:05:48.000Z,AlfredoTitanium,Ahora hay que detener a un presidente en Colombia que ganó las elecciones gracias a las amenazas a una buena parte de colombianos por parte de sus frutos armados,0,0,0
1608474694277271553,2022-12-29T14:47:05.000Z,dobleerre025,Que Colombia se pellizque y elija bien en las elecciones regionales,0,0,0
1608471793786032128,2022-12-29T14:35:34.000Z,LuiferGonzalez9,"#Del23Espero que Colombia eleve el nivel de conciencia. Se avecinan elecciones locales: el populismo no puede salir victorioso, los partidos políticos vendidos por burocracia, hay que castigarlos en las urnas.

Tengamos memoria.",0,0,0
1608462780947914753,2022-12-29T13:59:45.000Z,CxRamirezMiguel,"Colombia no es Venezuela , va tacar burro 
@petrogustavo
 , en las próximas elecciones pierde el poder 
@German_Vargas",0,0,0
1608461561974104064,2022-12-29T13:54:54.000Z,desayunos12,"El año tuvo varios hechos a nivel regional, desde el triunfo de Gustavo Petro en las elecciones de Colombia y de Luiz Inácio Lula Da Silva en Brasil hasta la destitución del expresidente peruano Pedro Castillo y sucesos en Argentina.",0,0,0
1608457464432758786,2022-12-29T13:38:37.000Z,JessMar40049759,"@ConservadorCol_ 
@Colombia
 despertó desde las anteriores elecciones que no eligió a fico como presidente y el que sigue dormido es fico soñando, estamos viendo los cambios co n Petro. Fico como representante de la casta dominante y de la derecha no hubiera hecho.",0,0,0
1608456828945371137,2022-12-29T13:36:06.000Z,RicardoGonzi,"@INEMexico
 cuidado con la empresa Indra que contó los votos en las últimas elecciones en Colombia donde ganó Petro con sospechas de fraude. Otro dato preocupante es que el gobierno comunistoide de España la acaba de contratar para sus próximas elecciones.


https://
lainformacion.com/empresas/indra
-ojo-huracan-criticas-fraude-electoral-colombia/2867088/
…",0,0,0
1608447627099623425,2022-12-29T12:59:32.000Z,crovalen,"PETRO SABÍA QUE NUNCA SERÍA PRESIDENTE DE COLOMBIA EN ELECCIONES LIMPIAS Y POR ESO SE ASOCIÓ CON LOS CRIMINALES DE FARC.ELN, Y PRIMERA LÍNEA Y SE",0,0,0
1608447079029919744,2022-12-29T12:57:21.000Z,BHR643,"NO SIGAN TIRANDOSE A ESTE PAÍS LLAMADO COLOMBIA en las próximas elecciones regionales...

Hay muchos del pacto criminal dizque para llegar a alcaldías y gobernaciones. 

DEJEMOS DE SER IGNORANTES NO SE AUTO SUICIDEN NO ACABEN DE ASESINAR A SU PATRIA.",0,0,0
1608441731393163274,2022-12-29T12:36:06.000Z,RealMagicoBot,"En un sueño, un anciano hondureño piensa que es un alacrán. Gracias a una oración, al despertar se ha convertido en una cougar oportunista durante las elecciones de Colombia en 2096.",0,0,0
1608441336293691395,2022-12-29T12:34:32.000Z,ManuelJVelez,Quién está de acuerdo que Alexander Vega el Registrador Corrupto aliado del Pacto Histórico debe Renunciar. El pueblo de Colombia no tiene Garantía para las elecciones 2023.RT,49,524,1083000000
